Id;Atributo de Calidad;Requerimiento No Funcional Detallado;Estado Actual;Observaciones
1;Rendimiento y Eficiencia (UI);Los objetos nativos del motor de mapas (instancias Leaflet, Polilíneas, Marcadores) deben aislarse de la reactividad profunda del framework (Vue) para evitar el colapso de la memoria RAM y garantizar 60 FPS durante paneos y zooms con múltiples rutas activas.;Completado;Variables globales let en lugar de ref() en MapComponent.vue
2;Integridad Concurrente (Transaccionalidad);"El sistema debe mitigar las condiciones de carrera (race conditions) durante el reordenamiento de paradas calculando índices temporal/definitivo dinámicamente frente al estado más ""fresco"" de la BD, previo a la escritura.";Completado;Lógica de sync y temp_order en routeUtils.js
3;Resiliencia y Tolerancia a Fallos;"La interfaz de dibujo no debe bloquearse si el servicio externo de enrutamiento OSRM falla (latencia alta o HTTP 500). El sistema aplicará un ""degrade elegante"" uniendo puntos de forma rectilínea automática.";Completado;Try/catch con fallback a línea recta implementado
4;Seguridad de Datos Espaciales;El almacenamiento persistente (PostgreSQL) debe asegurar mediante tipado estricto (PostGIS) que las rutas solo acepten geometrías LineString (SRID 4326) y las paradas tipo Point, previniendo inyecciones malformadas.;Completado;Restricciones GEOMETRY(LineString, 4326)
5;Mantenibilidad y Arquitectura Front;El estado maestro de las rutas (datos, capas, identificador de foco) debe gestionarse centralizadamente mediante un Store Global (Pinia), permitiendo que el visor GIS actúe puramente como un consumidor reactivo de dicho estado.;Completado;Gestión central en src/stores/routes.js
6;Usabilidad y Feedback Asíncrono;Toda transacción de red que modifique la topología de la ruta o el catálogo de paradas debe inhibir interacciones repetidas mediante indicadores de carga (loaders) y notificar éxito/fracaso explícitamente mediante Toasts.;Parcial;Aún hay operaciones silenciosas que carecen de feedback
7;Consistencia de Datos Relacionales;"La modificación de los metadatos de un ""Punto de Parada"" (ej. cambiar nombre) debe reflejarse automáticamente en todas las rutas que hagan uso de dicha parada, manteniendo una única fuente de verdad (Normalización).";Completado;Relación N:M en tab_route_points_assoc
8;Seguridad y Sanitización de Inputs;Los metadatos visuales (ej. Color Hexadecimal) deben ser validados estrictamente mediante expresiones regulares a nivel Backend y Base de Datos para prevenir inyecciones CSS que quiebren el renderizado del Canvas.;Completado;CHECK constraint (color_route ~ '^#[0-9A-Fa-f]{6}$')
9;Prevención de Pérdida de Progreso;"Si el usuario se encuentra en un flujo activo de ""Trazado de Ruta"" e intenta cambiar abruptamente de módulo, el sistema debe retener los puntos en memoria o exigir validación para no frustrar el trabajo de digitalización.";Pendiente;El cambio de tabs destruye el trazado sin advertencia
10;Observabilidad y Depuración (Logging);Los componentes encargados del procesamiento espacial en frontend (cálculos Haversine, transformaciones OSRM, recálculos) deben generar trazas estructuradas (console logs) para permitir rastreo de cuellos de botella algorítmicos.;Completado;Abundante logging en MapComponent y routeUtils
11;Rendimiento de Red (Payload Size);Las consultas de rutas completas deben optimizarse omitiendo metadatos superfluos en los endpoints GET para mantener el payload JSON ligero, garantizando tiempos de respuesta < 500ms incluso con cientos de vértices por ruta.;Parcial;Falta optimización fina del DTO
12;Seguridad (Inyección SQL en Filtros);Los endpoints de búsqueda o mutación de rutas/paradas deben utilizar consultas parametrizadas (Prepared Statements en pg) de forma estricta para evitar ataques de inyección SQL sobre las coordenadas o nombres.;Completado;Uso extensivo de queries parametrizadas ($1, $2) en backend
13;Seguridad (Protección XSS en Leaflet);El nombre de las rutas y las paradas ingresadas por el usuario deben ser sanitizadas (escapando HTML) antes de renderizarse en los popups nativos de Leaflet, ya que Leaflet inyecta el contenido como HTML interpretado.;Pendiente;Potencial vulnerabilidad en los .bindPopup()
14;Confiabilidad (Transacciones ACID en Rutas);"La creación de una nueva ruta en conjunto con la asignación inicial masiva de sus paradas debe ejecutarse dentro de un bloque transaccional (BEGIN...COMMIT) en el backend. Si la inserción de puntos falla, la ruta no debe quedar ""huérfana"".";Completado;Implementado en el store procedure SQL
15;Usabilidad (Geofencing / Prevención de Errores);El sistema debe rechazar o advertir la creación de paradas cuyas coordenadas caigan absurdamente lejos del área metropolitana operativa (ej. puntos en el océano por coordenadas [0,0]), previniendo polución del catálogo.;Pendiente;Falta validación de Bounding Box
16;Escalabilidad (Paginación de Catálogo);Si el catálogo global de paradas escala a miles de registros, los componentes de lista y modales de selección deben implementar scroll virtual (Virtual DOM) o paginación en backend para evitar congelamientos del DOM del navegador.;Pendiente;"El modal de ""gestionar puntos"" lista todo de golpe"
17;Mantenibilidad (Abstracción Algorítmica GIS);Toda la lógica matemática pesada (cálculo de distancias, generación temporal de índices, filtrado de matrices OSRM) debe residir en utilidades puras (routeUtils.js) para permitir pruebas unitarias (Unit Tests) independientes del framework visual.;Completado;Separación de lógica en routeUtils
18;Rendimiento de Base de Datos (Índices Espaciales);Las consultas de análisis de distancia requeridas por el backend deben apoyarse obligatoriamente en índices espaciales GIST sobre las columnas PostGIS para asegurar respuestas de latencia submilisegundo a gran escala.;Pendiente;"Falta agregar ""CREATE INDEX ... USING GIST"""
19;Interoperabilidad (Soporte WKT/GeoJSON);La arquitectura debe permitir la traducción transparente y sin pérdidas entre la especificación WKT (Well-Known Text requerida por PostGIS) y GeoJSON (estándar consumido por Leaflet) en la capa de servicios Node.js.;Completado;Uso de ST_AsGeoJSON
20;Rendimiento de Renderizado (Simplificación Visual);Para rutas extremadamente largas, la API debería aplicar algoritmos de simplificación (ej. ST_Simplify en PostGIS) basándose en el nivel de zoom, enviando menos vértices al frontend sin sacrificar la topología general de la vía.;Pendiente;Actualmente se envía y renderiza la resolución 100% full
